BSM_BUSSTO,BSM_CHINES,geometry
3884,金德橋頭,POINT (121.61968615211 25.042614020889)
4854,市民大道八段,POINT (121.602599 25.052739)
1000227,敬業四路,POINT (121.558539 25.081622)
2170,廣安宮,POINT (121.563115 25.023282)
1118,黃石公廟,POINT (121.60718 25.07817)
20299,十八份,POINT (121.523109 25.150358)
1000685,竹子湖路7號,POINT (121.541404 25.166354)
2067,市政府(松壽),POINT (121.564611116503 25.0359198292655)
2080,吳興街口,POINT (121.5588463841 25.0315963747)
2159,喬治商職,POINT (121.55480640249 25.0262014264966)
2251,和平安和路口,POINT (121.550915062346 25.0245319230801)
2304,國立臺北教育�,POINT (121.544656606536 25.0249487844026)
3928,市立工農,POINT (121.572429847074 25.0410857339794)
3942,龍門國中(和平),POINT (121.539299267329 25.0257318454312)
3999,康寧社區,POINT (121.60630826256 25.0743191386271)
8520,成功路三段,POINT (121.589939880159 25.0796177267452)
8531,東湖國小,POINT (121.616672943692 25.0681756883922)
8629,康寧醫院,POINT (121.607272421423 25.0753620897785)
15120,世貿中心(基隆�,POINT (121.560156 25.033677)
50433,石潭公園(成功),POINT (121.591015 25.061041)
50434,石潭公園(成功),POINT (121.591281 25.061289)
2056,永吉國小,POINT (121.57771125853 25.0428257926695)
8537,湖光市場,POINT (121.59200882874 25.0816997666211)
2060,捷運永春站(松�,POINT (121.577654 25.041936)
2272,阿波羅大廈,POINT (121.553657892031 25.0412656451349)
2348,聯合報,POINT (121.562106434251 25.0411343471192)
2361,觀光局,POINT (121.556359 25.041249)
3930,觀光局,POINT (121.556231195107 25.0415178787807)
4091,永春國小,POINT (121.577690522404 25.0448632717332)
1000657,臺北車站(忠孝),POINT (121.514221 25.047565)
789,啟智學校,POINT (121.534692981633 25.1173302889076)
3951,天母棒球場(忠�,POINT (121.532191 25.114211)
1195,中央電台,POINT (121.53000448907 25.0778851835782)
1405,大龍街口,POINT (121.516539341104 25.0631036479244)
9436,忠烈祠,POINT (121.535552182321 25.0780024350627)
